time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,sunshine_duration,relative_humidity_2m_mean,cloudcover_mean,sunrise,sunset,date,zone,latitude,longitude,source_file,city,year,month,month_name,day_of_year,season,sunshine_hours,temperature_range,rain_day,hot_day,freezing_day,windy_day,comfort_temperature,dry_day,sunny_enough,low_cloud_cover,suitable_retreat_day,ok_day,suitability_label,ok_day_label,month_sin,month_cos,day_sin,day_cos
2018-01-14,8.2,1.7,4.6,0.0,5.8,22.7,6.44,28285.07,85,68,2018-01-14T07:54,2018-01-14T17:25,2018-01-14,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,14,Winter,7.856963888888889,6.499999999999999,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.23851257519407648,0.9711394088771653
2018-01-15,5.4,-2.6,1.5,0.0,11.1,23.8,8.76,30935.99,76,54,2018-01-15T07:50,2018-01-15T17:26,2018-01-15,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,15,Winter,8.593330555555555,8.0,False,False,True,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.2551824131233728,0.9668929289391521
2018-01-15,8.6,0.3,4.6,0.0,11.3,33.8,6.78,30195.64,82,70,2018-01-15T07:54,2018-01-15T17:26,2018-01-15,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,15,Winter,8.387677777777778,8.299999999999999,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.2551824131233728,0.9668929289391521
2018-01-16,9.2,2.4,6.6,0.1,19.6,37.8,5.36,22902.77,96,93,2018-01-16T07:49,2018-01-16T17:27,2018-01-16,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,16,Winter,6.3618805555555555,6.799999999999999,False,False,False,False,False,True,True,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.2717767384711357,0.9623603298276545
2018-01-16,11.6,6.7,9.5,0.8,13.0,43.6,3.02,332.88,98,100,2018-01-16T07:53,2018-01-16T17:27,2018-01-16,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,16,Winter,0.09246666666666667,4.8999999999999995,False,False,False,True,False,True,False,False,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.2717767384711357,0.9623603298276545
2018-01-17,8.7,2.2,5.5,0.0,24.6,47.2,10.11,28725.15,85,38,2018-01-17T07:49,2018-01-17T17:28,2018-01-17,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,17,Winter,7.979208333333334,6.499999999999999,False,False,False,True,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.2882906407095177,0.9575429528116719
2018-01-17,12.5,3.4,8.3,0.0,11.6,38.2,9.63,30836.94,85,30,2018-01-17T07:53,2018-01-17T17:28,2018-01-17,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,17,Winter,8.565816666666667,9.1,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.2882906407095177,0.9575429528116719
2018-01-18,11.2,-0.1,4.9,0.0,12.5,22.0,10.47,31253.61,75,11,2018-01-18T07:48,2018-01-18T17:29,2018-01-18,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,18,Winter,8.681558333333333,11.299999999999999,False,False,True,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.3047192331091634,0.9524422234305676
2018-01-18,13.5,3.9,7.9,0.0,5.9,23.0,9.81,30949.0,78,5,2018-01-18T07:52,2018-01-18T17:29,2018-01-18,VILA_REAL,41.301,-7.744,raw_VILA_REAL.csv,Vila Real,2018,1,January,18,Winter,8.596944444444444,9.6,False,False,False,False,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.3047192331091634,0.9524422234305676
2018-01-19,9.8,1.5,4.6,0.0,20.2,44.6,10.02,29798.08,87,31,2018-01-19T07:48,2018-01-19T17:31,2018-01-19,GUARDA,40.537,-7.268,raw_GUARDA.csv,Guarda,2018,1,January,19,Winter,8.277244444444445,8.3,False,False,False,True,False,True,True,True,0,0,Not suitable,Not OK,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283
